,课程名,专业类别,所属大学,开课次数,开课日期,结课日期,学时安排,持续周数,当前状态,参加人数,课程评价数,授课教师
456,创新与创业管理,管理学,南京邮电大学,4,2019-03-04,2019-05-31,4.0,13,立即参加,3542,335,赵波教授焦永纪副教授江游讲师张爽副教授
457,线性代数与空间解析几何,理学,哈尔滨工业大学,4,2019-03-04,2019-06-10,4.0,15,立即参加,2331,55,郑宝东教授郭潇副教授徐阳教授
458,传感与检测技术,工学,武汉理工大学,6,2019-02-18,2019-05-31,5.0,15,立即参加,2280,42,刘红丽副教授，武汉理工大学校级精品名师，自动化学院自动化系检测学科带头人。
459,工业生态学,工学,东北大学,2,2018-04-09,2018-05-30,5.0,8,已结束，查看内容,2117,70,杜涛东北大学 教授王鹤鸣东北大学 副教授岳强副教授高成康副教授张琦副教授王连勇讲师刘丽影副教授孙文强讲师
460,理论力学,工学,东北大学,8,2019-03-25,2019-07-08,3.5,16,立即参加,782,13,李永强教授张英杰副教授李红影讲师李健教授王延庆副教授李英梅副教授刘军副教授战宇讲师
461,金属材料学,工学,西北工业大学,5,2019-02-26,2019-05-31,4.0,14,立即参加,929,9,张静副教授 硕导王永欣教授 博导卢艳丽教授、博士生导师
462,材料科学基础,工学,大连理工大学,5,2019-02-23,2019-06-23,3.0,18,立即参加,3114,59,赵杰教授，博士生导师叶飞教授，博士生导师王清教授，博士生导师李佳艳副教授，博士生导师
463,数学文化十讲,理学,南开大学,8,2019-02-19,2019-05-26,2.5,14,立即参加,2501,338,顾沛教授李军副教授向兵副教授
464,数字图像处理,计算机,武汉大学,4,2019-03-04,2019-07-08,4.0,19,立即参加,4540,115,贾永红武汉大学教授，博士生导师，武汉大学教学名师，珞珈特聘教授
465,工科数学分析（二）,理学,北京航空航天大学,3,2019-03-01,2019-07-30,5.0,22,立即参加,3439,6,杨小远教授
466,民族声乐进阶密码——石春轩子教学示范课堂,艺术设计,华东师范大学,7,2019-03-01,2019-04-19,2.0,8,立即参加,1277,75,石春轩子音乐学系副教授
467,水声学,工学,哈尔滨工程大学,5,2019-03-04,2019-06-09,4.0,14,立即参加,549,43,黄益旺教授、博士生导师
468,微机原理与接口技术,计算机,西安交通大学,6,2019-02-25,2019-06-10,2.5,16,立即参加,7121,158,吴宁教授
469,IT行业职场英语,外语,大连理工大学,5,2019-03-15,2019-06-24,4.0,15,立即参加,3746,16,王宇副教授 王雷教授杜宛宜讲师周纯岳讲师刘辉讲师MushTeacher
470,互换性与测量技术基础,工学,哈尔滨工业大学,6,2019-02-18,2019-05-27,4.0,15,立即参加,3180,38,马惠萍课程负责人，博士，副教授，硕士导师。刘永猛研究员
471,电工学,工学,哈尔滨工业大学,5,2019-03-11,2019-06-10,4.0,14,立即参加,4238,37,张继红副教授吴建强教授刘晓芳副教授郑雪梅副教授刘桂花副教授杨威副教授吴辉副教授
472,材料力学,工学,哈尔滨工业大学,6,2019-02-23,2019-07-06,3.5,20,立即参加,2941,42,甄玉宝教授
473,中学教育见习与实习,教育教学,河北师范大学,4,2019-03-04,2019-05-27,4.5,13,立即参加,1805,479,戴建兵教授裴红彬副教授刘毅玮教授田菁教授夏晓烨教授张庆秀教授王宏方教授邢新宝教研员李秋石副教授白然副教授王建民讲师齐雅蕊讲师王换超讲师
474,工业药剂学,医药卫生,中国药科大学,3,2018-10-08,2019-01-20,4.0,15,已结束，查看内容,4204,16,周建平教授吴琼珠副教授吴正红教授
475,软件工程专业导论,计算机,哈尔滨工业大学,7,2019-02-25,2019-06-30,4.0,18,立即参加,3144,94,徐晓飞教授，博士生导师战德臣教授 博士生导师涂志莹讲师聂兰顺副教授徐汉川讲师
476,经济学原理,经济学,华中农业大学,6,2019-03-20,2019-06-07,2.0,12,立即参加,4409,74,黄宁阳经济管理学院，博士，副教授，硕士导师
477,科举与中国文化,历史,湖南大学,4,2018-03-26,2018-06-30,3.0,14,已结束，查看内容,7319,52,李兵教授
478,海商法,工学,大连海事大学,5,2019-02-25,2019-07-07,4.0,19,立即参加,1297,26,郭萍教授
479,微积分（三）,理学,电子科技大学,3,2019-02-25,2019-05-19,4.0,12,立即参加,5855,23,高建教授冷劲松教授汪小平讲师高中喜副教授程光辉教授何国良副教授米文副教授余时伟讲师夏红副教授窦芳芳副教授王晓梅副教授刘碧森无
480,服装流行分析与预测,艺术设计,浙江理工大学,3,2019-03-19,2019-06-18,3.0,14,立即参加,3520,86,刘丽娴副教授
481,新科学家英语：演讲与写作,外语,哈尔滨工业大学,6,2019-02-26,2019-06-16,2.5,16,立即参加,4349,60,李雪教授王景惠教授张世超副教授常梅副教授宋飞焱副教授
482,大学英语学术阅读,外语,南京大学,4,2019-03-11,2019-06-09,3.5,13,立即参加,5342,50,王海啸教授于江副教授夏珺副教授李长生副教授
483,人因工程学,管理学,东北大学,4,2019-03-18,2019-07-25,3.0,19,立即参加,852,17,郭伏教授、系主任金海哲讲师
484,电工技术与电子技术（一）（电工学  上）,工学,中国矿业大学,4,2019-02-18,2019-06-30,4.0,19,立即参加,7000,57,王香婷教授徐瑞东教授刘玉英副教授戴新联副教授张晓春讲师周一恒讲师王晔枫讲师王攀攀讲师
485,佛教文化,哲学,武汉大学,7,2019-02-26,2019-06-30,2.5,18,立即参加,6833,936,高文强教授/博士生导师
486,土木工程概论,工学,上海大学,3,2018-09-12,2019-01-18,2.0,19,已结束，查看内容,6492,119,叶志明教授汪德江讲师朱杰江教授杜晓庆副教授姚文娟教授彭妙娟教授刘绍峰讲师陈玲俐副教授
487,艺术导论,艺术设计,西安交通大学,6,2019-02-25,2019-06-22,4.0,17,立即参加,2517,18,黎荔副教授
488,投资学,经济学,中央财经大学 ,4,2019-03-04,2019-07-15,4.0,20,立即参加,17129,161,刘志东博士 教授 博士生导师宋斌教授  博士   硕士生导师陈暮紫博士 副教授 硕士生导师欧变玲博士 副教授 硕士生导师曲红燕博士 副教授荆中博博士 副教授
489,电子商务,管理学,重庆大学,7,2019-03-04,2019-06-08,4.0,14,立即参加,4917,368,邵兵家教授  博士生导师夏镇鸿校外教师
490,中华名相之管仲管理思想,文学文化,西南交通大学,6,2019-03-18,2019-07-08,2.0,17,立即参加,1481,321,李任飞副教授向仲敏副研究员崔罡讲师
491,电路（上）,工学,哈尔滨工业大学,6,2019-02-25,2019-07-26,4.0,22,立即参加,6660,51,齐超教授刘洪臣副教授-博导杨旭强副教授霍炬教授孙立山教授由佳欣副教授金钊讲师周学副教授
492,建筑评论,工学,同济大学,4,2019-09-17,2019-12-24,2.5,15,立即参加,1465,50,郑时龄中国科学院院士，同济大学建筑与城市规划学院教授王凯建筑与城市规划学院 副教授刘刊助理教授
493,分析化学（一）：化学分析,理学,湖南大学,6,2019-02-26,2019-07-02,4.0,19,立即参加,4407,33,王玉枝教授宦双燕教授
494,经济生活与数学,经济学,湖南大学,6,2019-03-11,2019-05-29,4.0,12,立即参加,1850,47,杨湘豫教授，理学硕士，硕士生导师，英国布鲁内尔大学访问学者。
495,机械原理,工学,北京航空航天大学,9,2019-02-25,2019-06-30,4.0,18,立即参加,1724,17,郭卫东教授
496,环境问题观察,工学,华东师范大学,6,2019-03-01,2019-06-21,4.0,17,立即参加,1019,43,张勇副教授、环境学系主任陆文洋助理研究员周天舒教授张秋卓副教授柳林高级工程师崔玉雪工程师李媛媛副教授杨凯kaiyangecnu
497,社区管理学,管理学,东北大学,5,2019-04-15,2019-07-08,2.5,13,立即参加,360,9,孙萍东北大学教授，博士生导师，文法学院院长。赵晶讲师张平教授
498,外国文学经典选读与现实观照,外语,电子科技大学,6,2019-02-24,2019-06-30,3.0,19,立即参加,17765,146,邹涛教授
499,唐诗经典,文学文化,浙江大学,8,2019-03-05,2019-06-30,4.0,17,立即参加,30033,259,胡可先教授陶然教授咸晓婷副教授
500,自动控制原理,工学,西安交通大学,4,2019-02-25,2019-06-28,1.5,18,立即参加,1882,35,张爱民教授王勇讲师任志刚副教授任晓栋讲师杜行俭副教授张雪涛讲师姚向华教师
501,微积分（三）,理学,哈尔滨工业大学,7,2019-02-25,2019-06-28,4.0,18,立即参加,2392,99,尹逊波教授黄艳讲师杨占文讲师雷强副教授任雪昆副教授张超副教授董久刚副教授张雅卓副教授靳水林副教授
502,人工智能原理,计算机,北京大学,4,2019-03-11,2019-06-30,4.0,16,立即参加,11819,174,王文敏教授
503,外国民商案例选读,法学,东北大学,6,2019-03-11,2019-05-27,4.0,12,立即参加,1034,17,隋军副教授法学系副主任
504,大学计算机—计算思维导论,计算机,哈尔滨工业大学,11,2019-02-25,2019-07-30,4.0,23,立即参加,5833,675,战德臣教授 博士生导师张丽杰教授聂兰顺副教授宋巧红副研究员
505,高速铁路动车组技术,工学,西南交通大学,3,2018-12-02,2019-05-15,2.5,24,立即参加,4901,26,李芾教授
506,组织行为学,管理学,中南财经政法大学,6,2019-03-04,2019-06-07,3.0,14,立即参加,3885,353,王淑红副教授
507,C程序设计基础,计算机,厦门大学,6,2019-03-20,2019-06-20,3.5,14,立即参加,7527,198,黄洪艺副教授李慧琪讲师张丽丽讲师庄朝晖讲师曾华琳讲师
508,化工原理（上册）,工学,大连理工大学,4,2019-03-04,2019-06-22,4.0,16,立即参加,1847,19,都健教授王瑶教授吴雪梅教授
509,现代工程制图（下）,工学,大连理工大学,5,2019-02-25,2019-06-23,4.0,17,立即参加,3008,82,王丹虹教授、教育部工程图学课程教学指导分委员会委员高菲副教授冯冬菊副教授王雪飞讲师陈霞讲师郭莉讲师李震讲师戴恒震	副教授舒宏副教授王殿龙教授柴晓艳高级工程师陈明副教授
510,科学计算与数学建模,理学,中南大学,5,2019-02-26,2019-06-14,4.0,16,立即参加,2896,87,郑洲顺教授刘新儒副教授张鸿雁教授潘克家副教授李志保讲师万中教授秦宣云教授任叶庆副教授胡志副教授
511,工科数学分析（一）,理学,北京航空航天大学,3,2018-09-01,2019-01-31,5.0,22,已结束，查看内容,12837,12,杨小远教授
512,金融学基础,经济学,电子科技大学,7,2019-02-25,2019-07-10,5.0,20,立即参加,6275,78,李强副教授刘波教授李平教授吴伟劭副教授
513,职业与创业胜任力,管理学,南京大学,5,2019-03-06,2019-06-05,4.0,14,立即参加,862,34,费俊峰南京大学心理健康教育与研究中心主任、副教授
514,网络技术与应用,计算机,中国人民解放军陆军工程大学,8,2019-02-20,2019-05-20,3.0,13,立即参加,6438,101,沈鑫剡教授俞海英教授李兴德副教授许继恒副教授钱万正讲师徐海斌讲师魏涛讲师宋以胜副教授
515,电子线路设计、测试与实验（二）,工学,华中科技大学,5,2019-02-11,2019-06-15,3.0,18,立即参加,2156,110,汪小燕教授左冬红副教授王振工程师曾喻江高级工程师闵玉堂讲师杨彩虹讲师潘晓明工程师夏银桥工程师陈林高级工程师邓天平副教授罗杰副教授秦臻副教授龚军高级张林教授吴建新高级工程师周波副教授张华讲师徐争光讲师刘澍讲师
516,大学生职业发展与就业指导,教育教学,福州大学,6,2019-03-07,2019-06-07,4.0,14,立即参加,3130,373,阮娟副教授白丽英教授王怡讲师汪静筠讲师徐红梅讲师朱玉华副教授王枫副教授
517,化工原理（上）,工学,北京化工大学,5,2019-02-23,2019-07-06,4.0,20,立即参加,2977,64,丁忠伟教授刘丽英副教授
518,无人机设计导论,工学,南京航空航天大学,3,2018-10-28,2019-01-11,4.0,11,已结束，查看内容,6640,77,昂海松教授/博导郑祥明副教授
519,文献管理与信息分析,管理学, 中国科学技术大学,10,2019-03-13,2019-07-10,3.0,18,立即参加,7477,972,罗昭锋中科大生命科学实验中心高级实验师、图书馆高级顾问、中国生命科学大型仪器共享平台联席会发起人兼秘书长
520,有机化学,理学,华中科技大学,5,2019-03-01,2019-07-08,4.0,19,立即参加,4576,20,龚跃法教授罗钒讲师唐翔鹰教授钟芳锐教授鲁登福副教授吴雪松教授
521,水利工程施工,工学,大连理工大学,4,2019-03-04,2019-06-24,4.0,17,立即参加,901,10,杜志达教授马震岳教授王刚副教授陈婧副教授许青副教授
522,理论力学,工学,国防科技大学,4,2019-02-25,2019-06-10,3.5,16,立即参加,2272,11,李海阳教授王华副研究员梁彦刚副教授
523,计算概论与程序设计基础,计算机,北京大学,2,2018-12-01,2019-03-30,4.0,18,立即参加,10421,62,李戈副教授
524,大学英语自学课程（上）,外语,北京科技大学,3,2019-03-12,2019-05-12,4.0,9,立即参加,29041,142,张敬源教授王娜副教授陈娟文副教授李金玉讲师何君萍高级讲师张丹丹讲师刘荣君副教授梁雅梦副教授沈艳娟讲师杜娟讲师王深工程师
525,数学建模,理学,厦门大学,6,2019-02-25,2019-06-15,4.0,16,立即参加,9556,44,谭忠教授、博士生导师
526,自动控制原理,工学,华中科技大学,7,2019-02-18,2019-05-27,4.0,15,立即参加,11106,105,王永骥教授王燕舞教授樊慧津教授秦肖臻副教授李炜自动化学院 教授王敏教授刘磊副教授张海涛教授张征副教授黄剑教授苏厚胜教授秦元庆讲师
527,当代青年心理学（一）认识青年篇,心理学,西南交通大学,8,2018-10-10,2018-11-16,3.0,6,已结束，查看内容,15015,65,宁维卫教授冉俐雯讲师董洁讲师张学伟讲师高燕讲师李启明讲师蒋洪波讲师唐静讲师徐建工程师刘娣讲师吴顺领讲师沈宏颖助教
528,数学分析（一）,理学,华东师范大学,4,2018-09-17,2018-12-24,5.5,15,已结束，查看内容,39033,52,柴俊教授庞学诚教授吴畏教授戴浩晖讲师王丽萍副教授
529,高等数学—微积分(2),理学,山东大学,5,2019-02-26,2019-06-24,4.0,17,立即参加,7748,56,"蒋晓芸教授,博导张天德教授  著名考研辅导专家王洪英副教授王玮副教授孙同军教授黄宗媛副教授包芳勋教授金辉讲师刘蕴贤教授朱冬梅副教授高夫征副教授陈建良副教授苏海军副教授崔明荣教授杜世田副教授"
530,电子技术（电工学 下）,工学,大连理工大学,5,2019-02-25,2019-05-27,4.0,14,立即参加,2515,94,陈希有教授王宁副教授章艳副教授
531,信号与系统,工学,北京交通大学,8,2019-02-19,2019-06-17,4.0,17,立即参加,14244,64,陈后金教授，博士生导师。胡健副教授黄琳琳教授薛健副教授陶丹教授彭亚辉副教授李居朋副教授钱满义讲师郝晓莉副教授魏杰副教授周航副教授申艳副教授侯亚丽副教授李艳凤副教授
532,中级财务会计（二）,管理学,哈尔滨工业大学,5,2019-03-01,2019-06-30,5.0,18,立即参加,5200,25,高艳茹副教授、硕士研究生导师
533,数字电路与系统,工学,东南大学,5,2019-02-18,2019-06-20,4.0,18,立即参加,2341,14,李文渊教授/博导安良副教授/硕导王蓉副教授高翔副教授黎飞中级李芹副教授周智君讲师
534,分析化学,理学,东北大学,6,2019-03-10,2019-07-06,4.0,17,立即参加,2620,32,陈明丽博士，东北大学教授，博士生导师。于永丽副教授于永亮博士，东北大学教授，博士生导师徐烨副教授赵爽副教授杨春光副教授刘梅英讲师
535,大学物理典型问题解析—电磁学,理学,北京理工大学,6,2019-03-12,2019-06-10,4.0,13,立即参加,1767,9,胡海云教授吴晓丽副教授缪劲松副教授
536,航空发动机燃烧学,工学,西北工业大学,5,2019-03-01,2019-05-19,4.0,12,立即参加,1518,37,范玮教授张群副教授黄希桥副教授
537,有机化学（2）,理学,西安交通大学,6,2019-02-18,2019-06-25,4.0,19,立即参加,3776,9,唐玉海教授靳菊情教授徐四龙副教授王丽娟讲师张祯讲师许昭讲师
538,风景园林景观规划原理,工学,同济大学,6,2019-03-12,2019-06-18,1.5,15,立即参加,2488,13,刘滨谊教授
539,有机化学（1）,理学,西安交通大学,6,2018-09-17,2019-01-07,4.0,17,已结束，查看内容,16146,13,唐玉海教授靳菊情教授徐四龙副教授王丽娟讲师张祯讲师许昭讲师
540,电子技术实验基础（一：电路分析),工学,电子科技大学,4,2019-03-04,2019-06-16,2.0,15,立即参加,4430,99,李朝海教授级高级工程师崔红玲副教授付炜副教授陈先荣高级工程师陈骏莲高级工程师王玉兰工程师谢建志讲师
541,通信原理,工学,电子科技大学,6,2019-02-25,2019-07-08,4.0,20,立即参加,2583,53,李晓峰教授傅志中副教授曹永盛副教授周宁副教授任通菊讲师邵怀宗副教授江宁副教授李兴明教授朱晓东副教授张静副教授邵士海教授李强教授
542,高速铁路牵引供电系统,工学,西南交通大学,4,2019-03-11,2019-06-18,4.0,15,立即参加,1199,30,陈维荣教授 博士生导师赵丽平副教授胡海涛副教授权伟副教授，博士(后)黎松奇讲师罗成实验师
543,大学计算机基础,计算机,中国农业大学,5,2018-09-04,2018-12-31,5.0,17,已结束，查看内容,23018,93,"陈雷副教授张莉中国农业大学,信息与电气工程学院-计算机系,教授李振波副教授王庆副教授"
544,丝绸文化与产品,工学,苏州大学,6,2019-03-04,2019-06-04,4.0,14,立即参加,838,21,潘志娟教授冯岑副教授李春萍高级实验师关晋平副教授潘姝雯讲师
545,单片机原理与汽车微机应用技术,工学,长安大学,5,2019-03-15,2019-06-28,3.0,16,立即参加,1416,23,仝秋红教授
546,农业植物病理学,农林园艺,福建农林大学,4,2019-03-01,2019-07-11,3.0,19,立即参加,1263,46,刘国坤教授吴祖建研究员许文耀教授蔡学清教授鲁国东教授詹家绥教授林品榕副研究员肖顺副教授范晓静讲师洪鹏翔讲师
547,作物育种学,农林园艺,南京农林大学,3,2018-10-04,2019-01-12,4.0,15,已结束，查看内容,2215,6,洪德林教授/博士生导师
548,有机化学,理学,华中农业大学,6,2019-02-18,2019-06-29,4.0,19,立即参加,9052,78,江洪教授曹敏惠华中农业大学副教授石炜副教授
549,程序设计与算法（三）C++面向对象程序设计,计算机,北京大学,4,2019-02-18,2019-05-30,4.0,15,立即参加,10619,386,郭炜讲师
550,“互联网+”管理学,管理学,渤海大学,5,2018-09-09,2018-12-22,4.0,15,已结束，查看内容,7837,66,单凤儒渤海大学 终身教授闫涛教授张艳玲副教授
551,遗传与分子生物学实验,理学,厦门大学,6,2019-02-25,2019-06-22,3.0,17,立即参加,1890,22,章军副教授王亚梅副教授杨玉荣副教授顾颖副教授程通副教授黄秋英助理教授
552,信息素养：效率提升与终身学习的新引擎,管理学,四川师范大学,4,2019-02-24,2019-06-30,1.0,19,立即参加,9683,727,周建芳博士沙玉萍副研究馆员王一助理馆员
553,摄影基础,艺术设计,电子科技大学,5,2019-03-12,2019-06-18,0.75,15,立即参加,16887,1526,张秋雯讲师郝云超副教授
554,智慧课堂教学,教育教学,爱课程,5,2019-03-11,2019-05-31,4.0,12,立即参加,3343,221,谢幼如教授
555,工程项目管理,管理学,同济大学,5,2018-09-25,2019-02-02,4.0,19,已结束，查看内容,57103,143,丁士昭教授陆佑楣中国工程院院士殷瑞钰中国工程院院士陈建国教授何清华教授贾广社教授施骞教授乐云教授曹吉鸣教授孙继德副研究员高欣教授李永奎教授王广斌教授Calvin KAM美国斯坦福大学咨询教授Cyndi Snyder Dionisio美国第六版PMBOK指南核心编委会主席Edwin J. Andrews美国宾夕法尼亚大学博士Monique Aubry魁北克大学蒙特利尔分校教授刘武君上海工程技术大学副校长吴之昕基业长青国际工程与投资研究院院长吴慧娟中国建筑业协会副会长戴久坤肯塔基大学博士李恒香港理工大学建筑与房地产系教授陈兴汉南京栖霞建设（集团）公司董事长
556,教师如何做研究,教育教学,北京大学,16,2019-04-01,2019-05-14,5.5,7,立即参加,3597,4406,汪琼教授   博士生导师范逸洲无刘玲工程师汪滢讲师王宇WANGYU-PKU
557,中医护理学,医药卫生,南京中医药大学,4,2019-02-22,2019-06-30,4.0,19,立即参加,3983,58,徐桂华教授严姝霞讲师叶然副教授徒文静讲师王秋琴讲师姜荣荣讲师鹿竞文讲师卞尧尧副教授顾平教授/主任护师龚秀琴副教授/主任护师
558,通用英语（一）,外语,东北大学,5,2019-04-08,2020-07-15,5.0,67,立即参加,820,46,赵雯教授王勃然教授卢卉艳副教授
559,大学生科技创新课程之“挑战杯”课外学术科技作品竞赛,工学,西南交通大学,3,2018-11-26,2019-01-21,3.0,9,已结束，查看内容,2402,29,张祖涛教授/博士生导师罗大兵副教授潘亚嘉副教授李毅西南交通大学机械学院副书记，学生工作组组长王蔚讲师杨怀银助教
560,认识飞行,工学,上海工程技术大学,5,2019-02-18,2019-06-07,2.5,16,立即参加,1626,40,匡江红副教授吕鸿雁讲师党淑雯副教授顾莹讲师杜丽娟老师讲师
561,流行病学基础（一）,医药卫生,北京大学,9,2019-02-23,2019-06-02,1.5,15,立即参加,2676,52,吴涛副教授
562,新媒体素养,文学文化,中山大学,10,2019-03-12,2019-05-25,1.5,11,立即参加,3457,92,张志安传播与设计学院院长，教授、博士生导师
563,交互式电子白板教学应用,教育教学,爱课程,10,2019-03-11,2019-05-16,4.5,10,立即参加,4140,6577,张筱兰教授西北师范大学
564,编译原理,计算机,哈尔滨工业大学,4,2019-02-18,2019-07-31,4.0,24,立即参加,8538,205,陈鄞副教授郭勇讲师涂志莹讲师
565,数据库系统概论（基础篇）,计算机,中国人民大学,6,2019-02-19,2019-07-15,4.0,21,立即参加,13865,327,王珊教授杜小勇教授陈红教授卢卫副教授焦敏高级工程师张晓莹工程师
566,中药安全用药导论,医药卫生,北京中医药大学,8,2019-02-25,2019-05-19,3.5,12,立即参加,2828,83,张冰教授/主任医师林志健副教授吴嘉瑞教授张晓朦讲师
567,程序设计基础,计算机,哈尔滨工业大学,8,2018-09-17,2019-01-19,2.0,18,已结束，查看内容,18022,67,苏小红博士，教授，博士生导师赵玲玲讲师叶麟讲师张彦航副教授。
568,初级汉语语法,文学文化,北京语言大学,3,2019-03-19,2019-06-06,2.5,12,立即参加,2099,24,王瑞烽副教授杨楠讲师l雷朔讲师沈红丹讲师张军副教授王瑞讲师
569,古文字学,文学文化,武汉大学,10,2019-03-18,2019-06-30,3.0,15,立即参加,5285,134,肖圣中副教授
570,大学信息技术基础,计算机,福建农林大学,4,2019-03-11,2019-06-30,2.5,16,立即参加,4568,288,陈琼副教授崔建峰副教授李丽珊讲师刘秀玲讲师陈细妹讲师廖世涛讲师敖永霞讲师鄂大伟教授
571,高级语言程序设计,计算机,东北大学,3,2019-03-04,2019-07-04,5.0,18,立即参加,3232,26,高克宁教授赵长宽讲师李封讲师
572,设计的力量,艺术设计,湖南大学,5,2019-03-11,2019-06-15,1.0,14,立即参加,3129,91,何人可湖南大学设计艺术学院院长、教授、博士生导师。
573,无机及分析化学（下）,理学,华中农业大学,7,2019-04-15,2019-07-05,5.0,12,立即参加,1500,66,王运教授胡先文副教授李慧慧讲师康勤书副教授刘永红副教授陆冬莲讲师
574,土壤、地质与生态学综合实习,农林园艺,南京农林大学,5,2019-03-18,2019-06-30,3.0,15,立即参加,726,20,张旭辉副教授刘满强教授李真副教授李学林实验师王洪梅研究实习员
575,行政管理学,管理学,西北大学,5,2019-03-11,2019-06-30,4.0,16,立即参加,2024,22,梁忠民梁忠民，西北大学教授，博士生导师；国务院政府特殊津贴专家。
576,消防燃烧学,工学,中国人民警察大学,3,2018-09-25,2019-01-16,4.0,17,已结束，查看内容,2935,37,徐晓楠教授郭子东副教授郑兰芳副教授王平副教授陈伟红教授闫琪讲师
577,大学物理（振动波、光学、热学、近代物理）,理学,东北大学,4,2018-09-03,2018-12-24,3.0,17,老师已关闭该学期，无法查看,6490,131,陈肖慧教授赵国俭副教授杨玉玲教授张莲莲讲师张莉讲师易光宇副教授吴海娜副教授王强副教授杜安教授
578,电工学,工学,东北大学,4,2019-03-18,2019-07-05,4.0,16,立即参加,3776,48,肖军教授刘晓志副教授吴春俐副教授李丹讲师孙静讲师李世平副教授孟令军无杨楠实验师
579,创业3+3,管理学,哈尔滨工业大学,4,2019-03-04,2019-06-30,3.0,17,立即参加,1301,85,尹胜君讲师
580,外国文学史（二）,文学文化,浙江工商大学,4,2018-08-15,2018-12-05,3.0,17,已结束，查看内容,18261,90,"蒋承勇教授、博导；国家教学名师，中国外国文学教学研究会会长，教育部“面向21世纪课程教材”《外国文学史》主编之一。李艳梅博士,副教授."
581,大学英文写作（一）,外语,国防科技大学,5,2018-09-28,2019-01-03,4.0,14,已结束，查看内容,19094,95,李慧辉外籍专家刘晶教授唐安华副教授张丽娟副教授龚双萍副教授孟东红副教授胡卫星副教授
582,卫生技术评估,医药卫生,复旦大学,5,2019-02-25,2019-05-12,4.0,11,立即参加,578,14,陈英耀教授黄葭燕教授薛迪教授陈文教授周萍副教授应峻副研究馆员涂诗意讲师丁永明中级职称
583,VisualBasic6.0程序设计,计算机,同济大学,7,2019-02-18,2019-06-21,4.0,18,立即参加,4734,114,龚沛曾电子与信息工程学院 教授杨志强教授朱君波讲师施珺教授徐有芳副教授李玉龙教授王俊丽副研究员
584,印象英美——穿越时空之旅,外语,杭州师范大学,4,2019-03-11,2019-06-30,4.0,16,立即参加,6255,105,骆蓉副教授、博士
585,物理化学（二）,理学,大连理工大学,6,2019-02-25,2019-05-27,4.0,14,立即参加,1969,15,王旭珍教授，宝钢优秀教师王新葵副教授王新平教授，辽宁省教学名师石川教授纪敏教授宋雪旦讲师
586,模拟电子技术,工学,北京交通大学,5,2019-02-18,2019-07-27,4.0,23,立即参加,14105,62,刘颖教​授、博导路勇副教授、硕士生导师侯建军教授、博士、博导黄亮副教授、博士任希副教授李赵红副教授霍炎教授白双副教授邓涛副教授
587,大学英文写作（二）,外语,国防科技大学,4,2018-05-18,2018-11-07,4.0,25,已结束，查看内容,21102,11,李慧辉外籍专家刘晶教授唐安华副教授张丽娟副教授龚双萍副教授孟东红副教授
588,机械原理,工学,吉林大学,6,2019-03-04,2019-06-10,4.0,15,立即参加,1205,37,王聪慧副教授
589,高等数学（一）,理学,同济大学,4,2018-09-10,2018-11-16,4.0,10,已结束，查看内容,432358,314,周朝晖副教授李少华教授殷俊锋教授张华隆教    授朱晓平副教授濮燕敏副教授黄长水讲师张弢副教授兰辉副教授孙娟娟讲师李忠华副教授
590,行政职业能力提升,管理学,暨南大学,4,2019-03-18,2019-06-25,1.5,15,立即参加,3075,125,李伟权暨南大学公共管理学院、应急管理学院 副院长 、副教授、 博士
591,漫谈数学与军事,理学,国防科技大学,5,2019-03-04,2019-05-18,3.0,11,立即参加,1108,50,李建平教授刘雄伟副教授王晓教授吴强副教授罗永副教授王炯琦副教授王丹副教授谢正副教授
592,世界优秀影片赏析,艺术设计,中国海洋大学,10,2018-09-01,2018-11-15,4.0,11,已结束，查看内容,73901,565,柴焰教授
593,思维导图的教学应用,教育教学,爱课程,5,2019-03-11,2019-05-31,3.5,12,立即参加,11621,1232,杜玉霞教授、博士贺卫国教师、博士曹卫真教授李立君讲师、博士杨琳高级实验师、博士
594,电气控制实践训练,工学,厦门大学,6,2019-02-20,2019-06-26,4.0,19,立即参加,4000,89,李继芳高级工程师许英杰高级工程师林春高级工程师鲍平工程师黄文娟工程师霍晓玮工程师王晓红高级工程师张丹工程师沈绿楠工程师
595,女性学：女性精神在现代社会中的挑战,哲学,四川大学,10,2019-03-11,2019-06-30,1.75,16,立即参加,2396,86,吴敏教师陈梅芳副教授张珊珊实验师
596,材料科学基础（下）,工学,西北工业大学,9,2019-02-25,2019-05-19,4.0,12,立即参加,1647,7,王永欣教授 博导
597,生活中的货币时间价值,经济学,暨南大学,5,2019-03-01,2019-06-15,2.5,16,立即参加,4512,1567,程静副教授
598,品牌管理,管理学,福州大学,5,2019-03-15,2019-05-31,40.0,12,立即参加,3788,155,肖阳教授，MBA导师
599,大学英语综合课程（二）,外语,国防科技大学,5,2019-03-05,2019-06-06,4.0,14,立即参加,3740,36,林骊珠副教授粟进英教授贺海涛副教授曾祥娟副教授胡卫星副教授焦新平副教授饶岚副教授敖锋副教授陈菁人文与社会科学学院语言文化研究所讲师刘缔讲师李园芳讲师
600,微积分（二）,理学,哈尔滨工业大学,5,2018-09-03,2018-12-28,4.0,17,已结束，查看内容,10365,22,尹逊波教授
601,光电子学（二）,工学,西安交通大学,6,2019-03-18,2019-06-20,1.5,14,立即参加,448,4,朱京平教授，博导
